a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_c,et_h_d
14,6,14,0.0,0.0,3,1,2,1000
18,4,20,0.0,0.0,3,1,2,1000
10,8,20,0.0,0.0,1,13,1,1000
3,10,7,0.0,0.0,1,1000,1,1000
16,4,6,0.0,0.0,1000,1,26,1000
4,15,18,0.0,0.0,1,43,1,1000
12,5,5,0.0,0.0,8,1,3,1000
17,13,16,0.0,0.0,2,3,2,1000
10,16,15,0.0,0.0,1,1000,1,1000
15,11,20,0.0,0.0,2,3,1,1000
11,17,14,0.0,0.0,1,6,1,1000
6,7,11,0.0,0.0,1,7,1,1000
16,19,6,0.0,0.0,2,1,2,1000
8,13,15,0.0,0.0,1,1000,1,1000
8,15,20,0.0,0.0,1,1000,1,1000
7,8,8,0.0,0.0,2,3,1,1000
17,16,9,0.0,0.0,2,2,2,1000
8,12,15,0.0,0.0,1,1000,1,1000
7,15,14,0.0,0.0,1,1000,1,1000
13,18,5,0.0,0.0,2,1,2,1000
14,6,20,0.0,0.0,2,2,2,1000
19,15,5,0.0,0.0,3,1,2,1000
14,19,17,0.0,0.0,2,4,1,1000
9,14,13,0.0,0.0,1,49,1,1000
18,4,19,0.0,0.0,3,1,2,1000
8,15,10,0.0,0.0,1,7,1,1000
6,15,12,0.0,0.0,1,1000,1,1000
12,4,10,0.0,0.0,4,1,2,1000
7,16,2,0.0,0.0,1,1,1,1000
7,1,7,0.0,0.0,4,1,3,1000
4,12,18,0.0,0.0,1,1000,1,1000
13,13,2,0.0,0.0,2,1,2,1000
15,15,2,0.0,0.0,2,1,2,1000
18,1,3,0.0,0.0,1000,1,1000,1000
7,4,10,0.0,0.0,2,3,2,1000
2,13,10,0.0,0.0,1,2,1,1000
20,6,11,0.0,0.0,1000,1,4,1000
2,13,10,0.0,0.0,1,2,1,1000
15,6,7,0.0,0.0,7,1,3,1000
20,12,5,0.0,0.0,4,1,3,1000
3,16,14,0.0,0.0,1,3,1,1000
3,4,12,0.0,0.0,1,10,1,1000
7,9,6,0.0,0.0,2,3,1,1000
2,6,1,0.0,0.0,1,2,1,1000
8,10,5,0.0,0.0,2,2,2,1000
12,14,8,0.0,0.0,2,2,2,1000
4,17,6,0.0,0.0,1,5,1,1000
7,10,3,0.0,0.0,2,2,2,1000
19,16,18,0.0,0.0,2,3,2,1000
9,4,18,0.0,0.0,1,4,1,1000
6,11,13,0.0,0.0,1,1000,1,1000
6,15,4,0.0,0.0,1,2,1,1000
12,1,20,0.0,0.0,2,1,2,1000
20,13,20,0.0,0.0,2,3,2,1000
7,13,4,0.0,0.0,2,2,1,1000
7,20,5,0.0,0.0,1,2,1,1000
13,12,12,0.0,0.0,2,3,2,1000
15,20,10,0.0,0.0,2,2,2,1000
9,13,20,0.0,0.0,1,1000,1,1000
5,8,11,0.0,0.0,1,1000,1,1000
19,18,8,0.0,0.0,2,1,2,1000
17,19,18,0.0,0.0,2,3,1,1000
7,1,16,0.12625250501002003,10.73015873015873,1,1,1,1000
2,6,5,0.0,0.0,1,1000,1,1000
8,4,10,0.0,0.0,2,3,2,1000
4,1,15,0.13627254509018036,7.75,1,1,1,1000
2,1,9,0.6673346693386774,7.960960960960961,1,3,1,5
13,20,10,0.0,0.0,2,3,1,1000
11,20,18,0.0,0.0,1,1000,1,1000
11,5,11,0.0,0.0,3,1,2,1000
6,19,1,0.0,0.0,1,1,1,1000
15,8,4,0.0,0.0,5,1,3,1000
3,2,3,0.0,0.0,2,3,2,1000
10,5,20,0.0,0.0,1,4,1,1000
17,9,4,0.0,0.0,5,1,3,1000
4,14,9,0.0,0.0,1,1000,1,1000
11,18,11,0.0,0.0,2,4,1,1000
17,13,19,0.0,0.0,2,3,2,1000
4,2,7,0.0,0.0,2,3,1,1000
14,11,4,0.0,0.0,3,1,2,1000
13,11,6,0.0,0.0,3,1,2,1000
4,2,14,0.04208416833667335,4.523809523809524,1,4,1,1000
20,18,4,0.01002004008016032,3.8,3,1,2,1000
19,8,4,0.0,0.0,31,1,4,1000
2,5,13,0.0,0.0,1,67,1,1000
17,16,20,0.0,0.0,2,3,1,1000
2,15,10,0.0,0.0,1,2,1,1000
10,15,13,0.0,0.0,2,6,1,1000
6,16,11,0.0,0.0,1,1000,1,1000
3,2,12,0.0,0.0,1,5,1,1000
16,4,11,0.0,0.0,6,1,4,1000
10,4,7,0.0,0.0,5,1,3,1000
16,19,19,0.0,0.0,2,4,1,1000
18,19,1,0.0,0.0,2,1,2,1000
16,2,20,0.0,0.0,2,1,2,1000
11,19,17,0.0,0.0,1,27,1,1000
2,10,8,0.0,0.0,1,4,1,1000
3,16,4,0.0,0.0,1,3,1,1000
14,2,3,0.0,0.0,1000,1,1000,1000
5,2,6,0.0,0.0,2,1,2,1000
9,12,11,0.0,0.0,2,4,1,1000
16,18,1,0.0,0.0,2,1,2,1000
15,8,14,0.0,0.0,3,2,2,1000
12,4,4,0.0,0.0,1000,1,5,1000
18,15,4,0.0,0.0,3,1,2,1000
4,20,18,0.0,0.0,1,3,1,1000
18,3,1,0.0,0.0,1000,1,1000,1000
2,16,18,0.0,0.0,1,2,1,1000
13,5,14,0.0,0.0,2,1,2,1000
6,17,3,0.0,0.0,1,2,1,1000
14,6,5,0.0,0.0,17,1,3,1000
12,5,3,0.0,0.0,11,1,4,1000
4,5,8,0.0,0.0,1,10,1,1000
2,14,17,0.0,0.0,1,2,1,1000
2,10,12,0.0,0.0,1,3,1,1000
12,8,14,0.0,0.0,2,3,2,1000
12,9,7,0.0,0.0,3,1,2,1000
7,3,13,0.0,0.0,2,3,1,1000
11,20,15,0.0,0.0,1,9,1,1000
12,1,3,0.0,0.0,1000,1,1000,1000
9,9,19,0.0,0.0,1,1000,1,1000
20,16,12,0.0,0.0,3,2,2,1000
4,14,16,0.0,0.0,1,1000,1,1000
9,19,6,0.0,0.0,1,2,1,1000
14,3,12,0.0,0.0,5,1,3,1000
7,17,18,0.0,0.0,1,1000,1,1000
17,14,14,0.0,0.0,2,2,2,1000
8,6,6,0.0,0.0,2,2,2,1000
3,3,6,0.501002004008016,7.232,1,33,1,1000
9,13,11,0.0,0.0,2,4,1,1000
3,3,11,0.0,0.0,1,35,1,1000
19,8,5,0.0,0.0,10,1,4,1000
5,1,14,0.4288577154308617,17.345794392523363,1,1,1,1000
8,2,18,0.0,0.0,1,1,1,1000
20,13,10,0.0,0.0,3,1,2,1000
5,11,19,0.0,0.0,1,1000,1,1000
4,16,10,0.0,0.0,1,9,1,1000
7,14,6,0.0,0.0,1,4,1,1000
13,17,11,0.0,0.0,2,3,1,1000
7,1,5,0.8016032064128257,19.13,7,1,5,1000
16,18,6,0.0,0.0,2,1,2,1000
4,18,16,0.0,0.0,1,5,1,1000
4,15,10,0.0,0.0,1,1000,1,1000
5,6,5,0.0,0.0,2,3,1,1000
3,20,6,0.0,0.0,1,3,1,1000
6,11,14,0.0,0.0,1,1000,1,1000
15,17,7,0.0,0.0,2,2,2,1000
10,2,1,0.0,0.0,1000,1,1000,1000
13,11,11,0.0,0.0,2,3,2,1000
5,16,18,0.0,0.0,1,1000,1,1000
19,12,19,0.0,0.0,2,3,2,1000
6,1,4,0.0,0.0,10,1,5,1000
16,17,10,0.0,0.0,2,2,2,1000
17,20,7,0.0,0.0,2,1,2,1000
2,9,19,0.0,0.0,1,2,1,1000
8,5,10,0.0,0.0,2,3,2,1000
15,4,5,0.0,0.0,1000,1,8,1000
5,7,2,0.0,0.0,2,1,2,1000
15,11,1,0.0,0.0,3,1,3,1000
2,10,3,0.0,0.0,1,3,1,1000
7,13,5,0.0,0.0,2,2,1,1000
9,9,17,0.0,0.0,1,9,1,1000
15,19,20,0.0,0.0,2,4,1,1000
6,13,14,0.0,0.0,1,1000,1,1000
10,16,18,0.0,0.0,1,1000,1,1000
8,14,5,0.0,0.0,2,2,1,1000
3,18,9,0.08216432865731463,4.878048780487805,1,3,1,1000
16,17,7,0.0,0.0,2,1,2,1000
3,10,11,0.03406813627254509,5.647058823529412,1,1000,1,1000
9,19,19,0.0,0.0,1,1000,1,1000
11,1,5,0.20040080160320642,13.35,1000,1,1000,1000
9,15,15,0.0,0.0,1,1000,1,1000
15,10,19,0.0,0.0,2,3,2,1000
15,16,18,0.0,0.0,2,3,1,1000
12,4,10,0.0,0.0,4,1,2,1000
16,13,3,0.006012024048096192,3.0,3,1,3,1000
20,16,17,0.0,0.0,2,3,2,1000
6,8,9,0.0,0.0,1,6,1,1000
15,15,2,0.0,0.0,2,1,2,1000
2,11,6,0.0,0.0,1,3,1,1000
9,2,20,0.0,0.0,1,1,1,1000
3,12,11,0.0,0.0,1,17,1,1000
7,5,2,0.008016032064128256,3.5,3,1,3,1000
20,9,2,0.0,0.0,6,1,4,1000
17,18,7,0.0,0.0,2,1,2,1000
20,14,5,0.0,0.0,3,1,3,1000
18,1,8,0.0,0.0,1000,1,1000,1000
20,13,20,0.0,0.0,2,3,2,1000
13,4,6,0.0,0.0,17,1,6,1000
9,3,18,0.250501002004008,10.104,1,1,1,1000
2,7,2,0.0,0.0,1,4,1,1000
20,4,1,0.0,0.0,1000,1,1000,1000
18,6,4,0.0,0.0,1000,1,7,1000
9,3,11,0.0,0.0,2,1,2,1000
19,1,6,0.1683366733466934,17.88095238095238,1000,1,1000,1000
12,14,10,0.0,0.0,2,3,2,1000
8,10,16,0.0,0.0,1,10,1,1000
7,11,3,0.0,0.0,2,2,2,1000
14,2,17,0.0,0.0,2,1,2,1000
18,2,6,0.0,0.0,1000,1,1000,1000
17,15,19,0.0,0.0,2,3,2,1000
2,2,5,0.0,0.0,1,1000,1,1000
3,1,9,0.0,0.0,1,1,1,11
19,10,2,0.0,0.0,5,1,4,1000
6,17,2,0.0,0.0,1,1,1,1000
6,13,16,0.0,0.0,1,1000,1,1000
2,15,14,0.0,0.0,1,2,1,1000
10,11,5,0.0,0.0,2,2,2,1000
5,19,17,0.0,0.0,1,1000,1,1000
16,11,5,0.006012024048096192,3.0,3,1,3,1000
14,12,3,0.0,0.0,3,1,2,1000
11,10,3,0.0,0.0,3,1,2,1000
17,12,20,0.0,0.0,2,3,2,1000
15,14,1,0.012024048096192385,3.1666666666666665,3,1,3,1000
3,11,19,0.0,0.0,1,4,1,1000
5,19,15,0.0,0.0,1,1000,1,1000
20,6,2,0.0,0.0,1000,1,16,1000
8,11,5,0.0,0.0,2,2,2,1000
4,10,10,0.0,0.0,1,1000,1,1000
18,8,13,0.0,0.0,4,1,2,1000
20,18,13,0.0,0.0,2,2,2,1000
16,8,14,0.0,0.0,3,1,2,1000
3,2,15,0.0,0.0,1,3,1,1000
4,4,10,0.0,0.0,1,1000,1,1000
16,10,14,0.0,0.0,3,2,2,1000
17,4,9,0.0,0.0,70,1,7,1000
11,18,9,0.0,0.0,2,3,1,1000
14,18,18,0.0,0.0,2,4,1,1000
9,14,13,0.0,0.0,1,49,1,1000
7,8,4,0.0,0.0,2,2,2,1000
5,5,6,0.0,0.0,2,3,1,1000
14,2,9,0.0,0.0,35,1,6,1000
11,20,20,0.0,0.0,1,1000,1,1000
5,6,13,0.0,0.0,1,1000,1,1000
12,10,15,0.0,0.0,2,3,1,1000
8,9,19,0.0,0.0,1,1000,1,1000
6,9,12,0.0,0.0,1,1000,1,1000
20,14,18,0.0,0.0,2,2,2,1000
9,12,1,0.0,0.0,2,1,2,1000
6,3,9,0.7995991983967936,10.914786967418546,2,3,2,1000
16,7,4,0.0,0.0,13,1,4,1000
12,10,13,0.0,0.0,2,3,2,1000
4,6,15,0.0,0.0,1,1000,1,1000
8,9,14,0.0,0.0,1,6,1,1000
6,3,4,0.0,0.0,4,1,2,1000
12,12,4,0.0,0.0,2,1,2,1000
10,3,15,0.0,0.0,2,1,2,1000
14,1,3,0.6673346693386774,24.68768768768769,1000,1,1000,1000
14,20,14,0.0,0.0,2,4,1,1000
9,3,13,0.0,0.0,2,1,2,1000
6,18,15,0.0,0.0,1,1000,1,1000
6,13,11,0.0,0.0,1,1000,1,1000
16,9,17,0.0,0.0,2,2,2,1000
16,19,18,0.0,0.0,2,4,1,1000
12,15,8,0.0,0.0,2,2,2,1000
10,3,14,0.0,0.0,2,1,2,1000
11,18,1,0.0,0.0,2,1,2,1000
12,7,8,0.0,0.0,3,1,2,1000
18,6,8,0.0,0.0,14,1,5,1000
19,6,6,0.0,0.0,1000,1,6,1000
2,10,5,0.0,0.0,1,4,1,1000
16,5,19,0.0,0.0,2,1,2,1000
3,6,14,0.0,0.0,1,1000,1,1000
9,2,2,0.0,0.0,1000,1,1000,1000
6,10,16,0.0,0.0,1,1000,1,1000
18,11,10,0.0,0.0,3,1,2,1000
10,9,9,0.0,0.0,2,3,2,1000
8,11,17,0.0,0.0,1,1000,1,1000
13,6,10,0.0,0.0,4,1,2,1000
5,8,8,0.0,0.0,1,378,1,1000
17,6,12,0.0,0.0,8,1,3,1000
2,6,5,0.0,0.0,1,1000,1,1000
15,4,14,0.0,0.0,4,1,2,1000
4,18,19,0.0,0.0,1,5,1,1000
10,2,7,0.0,0.0,6,1,4,1000
19,1,9,0.11222444889779559,16.946428571428573,1000,1,1000,1000
16,4,19,0.0,0.0,2,1,2,1000
6,8,7,0.0,0.0,2,4,1,1000
3,9,4,0.0,0.0,1,8,1,1000
3,19,17,0.0,0.0,1,2,1,1000
18,18,14,0.0,0.0,2,2,2,1000
12,5,5,0.0,0.0,8,1,3,1000
15,19,8,0.0,0.0,2,2,2,1000
7,3,19,0.0,0.0,1,11,1,1000
8,16,1,0.0,0.0,1,1,1,1000
7,14,9,0.0,0.0,1,8,1,1000
17,3,9,0.0,0.0,1000,1,7,1000
19,7,16,0.0,0.0,4,1,2,1000
11,3,6,0.0,0.0,1000,1,5,1000
10,17,17,0.0,0.0,1,1000,1,1000
5,2,19,0.0,0.0,1,3,1,1000
10,15,7,0.0,0.0,2,2,1,1000
4,3,1,0.036072144288577156,4.055555555555555,3,1,3,1000
17,3,20,0.0,0.0,3,1,2,1000
20,12,3,0.0,0.0,4,1,3,1000
6,14,5,0.0,0.0,1,3,1,1000
18,4,3,0.0,0.0,1000,1,1000,1000
19,16,20,0.0,0.0,2,3,2,1000
14,12,16,0.0,0.0,2,3,2,1000
17,11,20,0.0,0.0,2,3,2,1000
3,1,12,0.0,0.0,1,1,1,10
15,12,4,0.0,0.0,3,1,2,1000
2,20,19,0.0,0.0,1,2,1,1000
10,12,19,0.0,0.0,1,8,1,1000
5,14,7,0.0,0.0,1,14,1,1000
18,2,15,0.0,0.0,5,1,4,1000
19,14,17,0.0,0.0,2,3,2,1000
20,17,9,0.0,0.0,3,1,2,1000
4,12,8,0.0,0.0,1,1000,1,1000
19,5,13,0.0,0.0,7,1,4,1000
13,17,13,0.0,0.0,2,3,1,1000
16,3,13,0.008016032064128256,3.0,5,1,4,1000
17,6,19,0.0,0.0,2,1,2,1000
16,17,1,0.0,0.0,2,1,2,1000
8,17,7,0.0,0.0,1,4,1,1000
7,3,19,0.0,0.0,1,11,1,1000
7,16,11,0.0,0.0,1,1000,1,1000
15,8,20,0.0,0.0,2,3,2,1000
19,19,11,0.0,0.0,2,2,2,1000
15,17,8,0.0,0.0,2,2,2,1000
13,19,18,0.0,0.0,1,14,1,1000
16,2,10,0.0,0.0,1000,1,6,1000
2,7,15,0.0,0.0,1,4,1,1000
6,9,16,0.0,0.0,1,1000,1,1000
15,8,7,0.008016032064128256,3.0,4,1,3,1000
4,4,8,0.0,0.0,1,33,1,1000
7,9,16,0.0,0.0,1,19,1,1000
7,10,5,0.0,0.0,2,2,1,1000
8,6,7,0.0,0.0,2,2,2,1000
8,5,14,0.0,0.0,2,4,1,1000
16,15,8,0.0,0.0,2,2,2,1000
18,9,20,0.0,0.0,2,2,2,1000
18,19,10,0.0,0.0,2,2,2,1000
14,11,9,0.0,0.0,3,2,2,1000
18,3,11,0.0,0.0,13,1,6,1000
4,14,15,0.0,0.0,1,1000,1,1000
10,19,17,0.0,0.0,1,1000,1,1000
10,5,15,0.0,0.0,2,3,2,1000
5,5,3,0.0,0.0,2,2,2,1000
12,5,16,0.0,0.0,2,1,2,1000
15,7,17,0.0,0.0,2,2,2,1000
18,12,13,0.0,0.0,3,2,2,1000
10,12,9,0.0,0.0,2,3,1,1000
2,17,20,0.0,0.0,1,2,1,1000
6,8,9,0.0,0.0,1,6,1,1000
18,8,12,0.0,0.0,5,1,2,1000
9,6,8,0.0,0.0,2,2,2,1000
8,10,12,0.0,0.0,2,5,1,1000
6,18,12,0.0,0.0,1,1000,1,1000
8,19,5,0.0,0.0,1,2,1,1000
4,20,10,0.0,0.0,1,4,1,1000
6,15,2,0.0,0.0,1,1,1,1000
7,6,12,0.0,0.0,2,5,1,1000
4,16,9,0.0,0.0,1,18,1,1000
3,8,15,0.0,0.0,1,1000,1,1000
5,19,20,0.0,0.0,1,300,1,1000
12,7,13,0.0,0.0,2,3,2,1000
9,18,9,0.0,0.0,1,5,1,1000
13,9,11,0.0,0.0,2,2,2,1000
8,20,6,0.0,0.0,1,2,1,1000
20,9,5,0.0,0.0,8,1,4,1000
20,4,18,0.0,0.0,4,1,3,1000
9,11,8,0.0,0.0,2,3,1,1000
20,14,11,0.0,0.0,3,1,2,1000
12,19,8,0.0,0.0,2,2,1,1000
15,8,16,0.0,0.0,2,2,2,1000
14,10,3,0.0,0.0,3,1,3,1000
6,5,16,0.0,0.0,1,1000,1,1000
14,18,8,0.0,0.0,2,2,2,1000
10,19,15,0.0,0.0,1,1000,1,1000
10,4,9,0.0,0.0,3,1,2,1000
6,18,9,0.0,0.0,1,1000,1,1000
4,17,5,0.0,0.0,1,4,1,1000
13,19,9,0.0,0.0,2,2,1,1000
20,10,3,0.0,0.0,5,1,4,1000
10,8,1,0.0,0.0,3,1,3,1000
12,5,12,0.0,0.0,3,1,2,1000
3,6,1,0.0,0.0,1,1,1,1000
13,12,5,0.0,0.0,3,1,2,1000
14,20,14,0.0,0.0,2,4,1,1000
2,6,15,0.0,0.0,1,4,1,1000
5,19,13,0.0,0.0,1,56,1,1000
3,11,13,0.0,0.0,1,21,1,1000
20,4,13,0.0,0.0,8,1,5,1000
12,13,3,0.0,0.0,2,1,2,1000
13,19,17,0.0,0.0,2,5,1,1000
17,16,18,0.0,0.0,2,3,2,1000
2,11,18,0.0,0.0,1,2,1,1000
5,18,19,0.0,0.0,1,1000,1,1000
7,8,11,0.0,0.0,2,5,1,1000
2,4,14,0.0,0.0,1,5,1,1000
17,11,5,0.0,0.0,4,1,3,1000
9,11,7,0.0,0.0,2,3,2,1000
9,20,2,0.0,0.0,1,1,1,1000
9,1,8,0.12625250501002003,10.73015873015873,5,1,4,1000
13,4,9,0.008016032064128256,3.0,7,1,3,1000
5,13,4,0.0,0.0,1,3,1,1000
14,20,17,0.0,0.0,2,4,1,1000
20,12,3,0.0,0.0,4,1,3,1000
15,4,8,0.0,0.0,1000,1,6,1000
19,20,13,0.0,0.0,2,2,2,1000
4,3,13,0.02404809619238477,3.8333333333333335,1,10,1,1000
11,15,1,0.0,0.0,2,1,2,1000
5,5,4,0.0,0.0,2,3,2,1000
17,8,3,0.0,0.0,6,1,4,1000
11,15,13,0.0,0.0,2,4,1,1000
19,13,4,0.0,0.0,3,1,3,1000
14,14,14,1.0,25.062124248496993,2,3,2,1000
4,1,18,0.0,0.0,1,1,1,1000
18,2,18,0.0,0.0,4,1,4,1000
18,4,17,0.0,0.0,4,1,3,1000
13,14,20,0.0,0.0,2,5,1,1000
11,2,5,0.0,0.0,1000,1,13,1000
3,11,9,0.0,0.0,1,1000,1,1000
18,5,14,0.0,0.0,5,1,3,1000
4,2,14,0.04208416833667335,4.523809523809524,1,4,1,1000
19,18,12,0.0,0.0,2,2,2,1000
19,1,4,0.501002004008016,30.0,1000,1,1000,1000
2,3,8,0.0,0.0,1,1000,1,1000
14,11,18,0.0,0.0,2,3,1,1000
3,6,15,0.0,0.0,1,1000,1,1000
15,10,12,0.0,0.0,3,2,2,1000
2,19,8,0.0,0.0,1,2,1,1000
9,17,19,0.0,0.0,1,1000,1,1000
10,4,7,0.0,0.0,5,1,3,1000
13,4,4,0.0,0.0,1000,1,7,1000
2,12,2,0.0,0.0,1,2,1,1000
5,15,14,0.0,0.0,1,1000,1,1000
10,15,2,0.0,0.0,2,1,2,1000
16,6,11,0.0,0.0,9,1,3,1000
9,1,8,0.12625250501002003,10.73015873015873,5,1,4,1000
16,5,15,0.0,0.0,4,1,2,1000
17,1,19,0.4749498997995992,72.25738396624473,4,1,3,1000
17,8,14,0.0,0.0,3,1,2,1000
3,19,5,0.0,0.0,1,3,1,1000
17,11,18,0.0,0.0,2,3,2,1000
7,7,10,0.0,0.0,2,4,1,1000
14,20,1,0.0,0.0,2,1,2,1000
8,6,4,0.03406813627254509,5.647058823529412,3,1,2,1000
12,5,17,0.0,0.0,2,2,2,1000
15,19,13,0.0,0.0,2,3,1,1000
17,11,8,0.0,0.0,3,1,2,1000
8,9,2,0.0,0.0,2,1,2,1000
16,8,16,0.0,0.0,2,2,2,1000
4,9,13,0.0,0.0,1,1000,1,1000
9,7,11,0.0,0.0,2,3,2,1000
20,6,2,0.0,0.0,1000,1,16,1000
12,17,19,0.0,0.0,1,8,1,1000
18,13,7,0.0,0.0,3,1,2,1000
13,3,13,0.0,0.0,4,1,2,1000
20,17,6,0.0,0.0,3,1,2,1000
17,6,3,0.0,0.0,1000,1,6,1000
18,4,15,0.0,0.0,5,1,3,1000
17,3,11,0.0,0.0,10,1,5,1000
13,1,12,0.0841683366733467,15.333333333333334,5,1,4,1000
3,11,2,0.0,0.0,1,2,1,1000
11,20,13,0.0,0.0,1,6,1,1000
10,7,12,0.0,0.0,2,3,2,1000
15,14,1,0.012024048096192385,3.1666666666666665,3,1,3,1000
20,5,16,0.0,0.0,5,1,3,1000
15,12,13,0.0,0.0,2,3,2,1000
19,14,11,0.01002004008016032,3.8,3,1,2,1000
16,15,20,0.0,0.0,2,3,1,1000
16,8,10,0.0,0.0,4,1,2,1000
8,1,17,0.4709418837675351,33.87234042553192,1,1,1,1000
7,9,6,0.0,0.0,2,3,1,1000
9,20,7,0.0,0.0,1,3,1,1000
3,7,15,0.0,0.0,1,1000,1,1000
4,9,1,0.0,0.0,1,1,1,1000
2,14,3,0.0,0.0,1,2,1,1000
20,15,14,0.0,0.0,3,2,2,1000
3,15,11,0.0,0.0,1,4,1,1000
20,1,7,0.2865731462925852,30.65034965034965,1000,1,1000,1000
4,10,8,0.0,0.0,1,1000,1,1000
19,8,8,0.0,0.0,8,1,3,1000
13,5,20,0.0,0.0,2,1,2,1000
11,19,11,0.0,0.0,2,4,1,1000
16,1,18,0.0,0.0,4,1,3,1000
11,16,20,0.0,0.0,1,175,1,1000
14,13,5,0.0,0.0,3,1,2,1000
9,4,14,0.0,0.0,2,3,2,1000
18,4,13,0.0,0.0,6,1,4,1000
6,11,3,0.0,0.0,2,2,1,1000
9,8,17,0.0,0.0,1,7,1,1000
6,8,4,0.0,0.0,2,2,2,1000
13,18,6,0.0,0.0,2,2,2,1000
10,9,15,0.0,0.0,2,4,1,1000
17,20,18,0.0,0.0,2,3,1,1000
20,9,5,0.0,0.0,8,1,4,1000
12,17,10,0.0,0.0,2,3,1,1000
2,12,8,0.0,0.0,1,3,1,1000
9,3,4,0.0,0.0,14,1,5,1000
18,9,11,0.0,0.0,4,1,2,1000
3,5,8,0.0,0.0,1,1000,1,1000
13,6,11,0.0,0.0,3,1,2,1000
10,2,17,0.0,0.0,2,1,2,1000
7,13,5,0.0,0.0,2,2,1,1000
2,8,1,0.0,0.0,1,2,1,1000
6,16,5,0.0,0.0,1,3,1,1000
7,3,7,0.0,0.0,3,1,2,1000
12,4,10,0.0,0.0,4,1,2,1000
3,2,6,0.0,0.0,1,5,1,1000
6,1,7,0.2865731462925852,12.006993006993007,3,1,2,1000
11,14,3,0.0,0.0,2,1,2,1000
20,18,4,0.01002004008016032,3.8,3,1,2,1000
